Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Vuori, Kristiina, kirjoittaja.",Neidonpaula,978-951-31-8274-8,2015,778
84.2,"Atkinson, Kate, kirjoittaja.",Joka lapsia ja koiria rakastaa,978-951-52-3539-8,2015,778
84.2,"Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 1. osa, Siivottomien sierainmöykkyjen yö /",951-31-3147-5,2004,777
85.22 KU,"Nopola, Tiina.",Siiri tekee maalin,978-951-31-5932-0,2011,775
L84.2,"Hallberg, Lin.","Älä pelkää, Sinttu!",978-951-31-6323-5,2012,775
84.2 H ,"Hallberg, Lin.","Kiva leiri, Sinttu",978-951-31-5250-5,2010,775
84.2,"Marklund, Liza, kirjoittaja.",Rautaveri,978-951-1-29171-8,2015,774
84.2,"Parvela, Timo.",Ella aalloilla,951-31-3437-7,2005,774
84.2,"Kinney, Jeff, kirjoittaja, kuvittaja.","Neropatin päiväkirja. 8, Kohtalo kolhii /",978-951-0-41245-9,2015,774
84.2,"Blædel, Sara, kirjoittaja.",Hyvästit vapaudelle,978-951-23-5858-8,2015,773
84.2 H ,"Widmark, Martin.",Koulun arvoitus,978-951-31-4745-7,2010,771
84.2,"Nesser, Håkan.",Yksinäiset : rikosromaani,978-951-31-7602-0,2014,770
84.2,"Jungstedt, Mari.",Vaarallinen leikki,978-951-1-26962-5,2013,769
84.2,"Utrio, Kaari, kirjoittaja.",Paperiprinssi,978-952-5330-77-9,2015,767
86.31,"Mankell, Henning, kirjoittaja.",Juoksuhiekka,978-951-1-28864-0,2015,767
84.2,"Wennstam, Katarina, kirjoittaja.",Petturi,978-951-1-28760-5,2015,767
84.2,"Connelly, Michael.",Musta laatikko,978-951-20-9631-2,2014,765
84.2,"Hiekkapelto, Kati.",Suojattomat,978-951-1-27392-9,2014,764
85.22,"Bergström, Gunilla.",Mikko Mallikas ja syntymäpäiväkutsut,978-951-31-4823-2,2009,763
84.2,"Oksanen, Sofi.",Kun kyyhkyset katosivat,978-952-01-0781-9,2012,763
84.2,"Marklund, Liza.",Ajojahti,978-951-1-26142-1,2013,762
84.2,"Slaughter, Karin, kirjoittaja.",Rikollinen,978-951-31-7560-3,2014,762
85.22,"Hill, Eric, kirjoittaja, taiteilija.",Puppe ja yllätyslahja,978-951-1-24199-7,2010,761
84.2,"Matintupa, Tuula T., kirjoittaja.",Pelitalo : jännitysromaani,978-951-883-634-9,2014,761
84.2,"Luhtanen, Sari.",Linssit huurussa,978-951-31-7637-2,2014,760
99.13,"Vesikallio, Johanna, kirjoittaja.",Lillan : Elisabeth Rehnin epätavallinen elämä,978-951-1-21868-5,2014,758
84.2,"Morton, Kate.",Hylätty puutarha,978-952-279-094-1,2014,758
84.2,"Rowling, J. K.",Harry Potter ja Feeniksin kilta,978-951-31-2907-1,2004,757
84.2,"Coben, Harlan, kirjoittaja.",Saalistaja,978-952-312-104-1,2015,754
85.22,"Hill, Eric.",Puppe saa pikkusiskon,951-1-10827-1,1989,753
84.2,"Rowling, J. K.",Harry Potter ja kuoleman varjelukset,978-951-31-4004-5,2008,753
84.2,"Widmark, Martin.",Hotellin arvoitus,951-31-3030-4,2004,753
84.2 JÄN,"Sandberg, Timo, kirjoittaja.",Yövieras : rikosromaani,978-951-23-6044-4,2015,753
84.2,"Kivelä, Anneli.",Köydenvetoa Katajamäellä,978-951-23-5558-7,2012,752
84.2 H,"Hallberg, Lin, kirjoittaja.",Eppu ja paras joululahja,978-951-31-7784-3,2014,750
3,Guinness world records 2012.,Guinness world records 2012,978-951-32-3200-9,2011,750
84.2,"Tegenfalk, Stefan, kirjoittaja.",Pahan kasvot,978-952-279-215-0,2015,745
84.2,"Jokinen, Seppo.",Suurta pahaa,978-951-23-4530-4,2004,743
77.4983,"Windham, Ryder.",Star wars : Tähtien sodan kuvitettu opas,978-951-0-39474-8,2012,742
84.2 JÄN,"Child, Lee, kirjoittaja.",Korkein panoksin,978-951-23-5954-7,2015,739
84.2 H,"Widmark, Martin.",Sahramin arvoitus,978-951-31-5233-8,2011,739
84.2,"Jokinen, Seppo, kirjoittaja.",Sana sanaa vastaan,978-951-23-4669-1,2005,738
85.22,"Knutsson, Gösta.",Pekka Töpöhäntä teatterissa,951-20-3982-6,2001,738
85.22,"Kunnas, Mauri.","Etusivun juttu, eli, Kuinka sanomalehti syntyy",978-951-1-11442-0,1990,736
84.2,"Pancol, Katherine, kirjoittaja.",Mimmit,978-952-279-177-1,2014,735
84.2,"Jones, Sadie, kirjoittaja.",Ehkä rakkaus oli totta,978-951-1-28498-7,2015,734
85.22 KU,"Knutsson, Gösta, kirjoittaja.",Pekka Töpöhäntä urheilukilpailuissa,951-20-3974-5,1992,734
84.2,"Frimansson, Inger, kirjoittaja.",Tyttö ja kissa,978-952-01-1157-1,2015,733
77.49,"Wallace, Daniel.",Galaktiset taistelut,978-951-0-39206-5,2012,733
85.22,"Havukainen, Aino.",Tatu ja Patu Helsingissä,951-1-18984-0,2003,732
84.2,"Sten, Viveca.",Pinnan alla,978-951-0-39690-2,2014,731
84.2 D,"Hjorth, Michael, kirjoittaja.",Mykkä tyttö,978-952-279-236-5,2015,731
85.22,"Knutsson, Gösta.",Pekka Töpöhäntä tivolissa,951-20-3975-3,1992,730
84.2,"Ollikainen, Milla, kirjoittaja.",Vesiraukka,978-952-01-1126-7,2014,724
84.2,"Mustonen, Enni.",Lapinvuokko,978-951-1-24357-1,2010,724
84.2 D,"Adler-Olsen, Jussi.",Pullopostia,978-951-20-9279-6,2014,723
85.22,"Nopola, Tiina, kirjoittaja.",Siiri ja kauhea kummitus,978-951-31-5689-3,2010,723
84.2,"Clark, Mary Higgins.",Kuin kaksi marjaa,978-951-31-6802-5,2014,723
85.22,"Bergström, Gunilla.",Mikko Mallikkaan parhaat tarinat,978-951-31-7992-2,2014,722
84.2,"Oranen, Raija.",Aurora,978-951-851-577-0,2014,722
84.2,"Kinsella, Sophie, kirjoittaja.",Himoshoppaaja tähtien tiellä,978-951-0-41120-9,2015,721
84.2 D,"Börjlind, Cilla, kirjoittaja.",Kolmas ääni,978-951-52-3424-7,2014,721
85.22,"Bergström, Gunilla.",Mikko Mallikas on kuningas,978-951-31-6642-7,2012,720
84.2,"Kilpi, Marko.",Kuolematon,978-951-20-9307-6,2013,720
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja ulkoavaruuden uskomattoman keljut keittiöntädit (ja ruokalan ihan yhtä ilkeät zombinynnyt),951-31-2699-4,2003,719
85.22,"Kanto, Anneli.",Veera Virtanen ja esikoulu,978-951-23-5657-7,2013,719
84.2,"Binchy, Maeve.",Seitsemän talvista päivää,978-951-0-40006-7,2013,718
84.2,"Pulkkinen, Riikka.",Iiris Lempivaaran levoton ja painava sydän,978-951-1-27833-7,2014,717
84.2 JÄN,"Vala, Vera, kirjoittaja.",Tuomitut,978-951-24-0069-0,2015,715
84.2,"Parvela, Timo, kirjoittaja.",Paten jalkapallokirja,978-951-31-8354-7,2015,714
84.2,"Steel, Danielle.",Iso tyttö,978-951-0-40272-6,2013,714
85.22,"Kanto, Anneli.",Vilma Virtanen ja uimataito,978-951-23-5291-3,2011,713
84.2,"Parvela, Timo, kirjoittaja.",Ella ja kaverit liemessä,978-951-31-8509-1,2015,712
85.22,"Knutsson, Gösta.",Pekka Töpöhännän laivaretki,951-20-3969-9,2000,712
84.2,"Kallioniemi, Tuula.",Hässäkkää ja hätähousuja,978-951-1-28205-1,2014,711
85.22,"Miler, Zdenk.",Myyrä ja kala,978-951-31-7050-9,2013,711
84.2 D,"Arnaldur Indriðason, kirjoittaja.",Reykjavikin yöt,978-952-5410-80-8,2014,710
85.22,"Cousins, Lucy.",Maisa opettelee uimaan,978-951-0-39779-4,2012,708
84.2,"Ohlsson, Kristina, kirjoittaja.",Daavidintähdet,978-951-0-39841-8,2015,706
85.22,"Nordqvist, Sven.",Viiru ja Pesonen telttaretkellä,951-31-0098-7,1993,705
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas menee kouluun,951-31-0893-7,1996,705
84.2,"Holma, Antti.",Järjestäjä,978-951-1-27976-1,2014,703
84.2,"Lehtinen, Tuija.",Tuhansien aamujen talo,978-951-1-26735-5,2012,703
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä suksilla,951-20-3971-0,1992,702
84.2,"Kallioniemi, Tuula.",Aaveita ja avaruusolentoja,978-951-1-26326-5,2012,701
85.22,"Nopola, Tiina.",Siiri ja hurja Hunskeli,978-951-31-3900-1,2008,701
85.22 KU,"Kunnas, Mauri.",Majatalon väki ja kaappikellon kummitukset,951-1-14424-3,1996,700
84.2,"Murakami, Haruki.",Värittömän miehen vaellusvuodet,978-951-31-7947-2,2014,699
85.22,"Bagge, Tapani.",Vihreän linnun arvoitus,978-951-31-7213-8,2013,697
84.2,"Läckberg, Camilla.",Majakanvartija,978-951-20-8808-9,2012,697
84.2,"Parvela, Timo.",Ella Lapissa,951-31-2874-1,2003,697
84.2,"Nicholls, David, kirjoittaja.",Yhtä matkaa,978-951-1-28586-1,2014,696
84.2,"Kepler, Lars.",Tulitodistaja : rikosromaani,978-951-31-6651-9,2012,694
84.2,"Rissanen, Pirjo.",Kamomillasola,978-951-20-8801-0,2012,691
84.2,"Kivelä, Anneli.",Katajamäki yllättyy,978-951-23-5386-6,2011,691
84.2,"Sund, Erik Axl.",Varistyttö,978-951-1-27183-3,2014,691
84.2,"McCall Smith, Alexander, kirjoittaja.",Pienten muutosten kauneussalonki,978-951-1-28791-9,2015,690
84.2,"Hallberg, Lin.",Eppu on hyvä ystävä,978-951-31-7561-0,2014,690
84.2,"Kivelä, Anneli.",Salaisuuksia Katajamäellä,978-951-23-5241-8,2010,688
84.2,"Jalonen, Olli.",Miehiä ja ihmisiä,978-951-1-28301-0,2014,687
85.22,"Kunnas, Mauri.",Yökirja eli mitä kaikkea tapahtuukaan yöllä,978-951-1-08044-2,1984,687
85.22 Selkokirja,"Puranen, Tuula, kirjoittaja.",Miina ja Manu kirjastossa,978-951-866-862-9,2014,686
85.22,"Kunnas, Mauri.",Kuningas Artturin ritarit : kappale kissojen varhaista historiaa,951-1-14974-1,1997,686
85.22,"Kanto, Anneli, kirjoittaja.",Virtasen lapset ja pentu,978-951-23-5911-0,2015,685
84.2,"Orkoma, Marja.",Lesti & Lautanen,978-951-883-489-5,2013,685
84.2 H ,"Hallberg, Lin.","Aprillia, Sinttu",978-951-31-5249-9,2010,684
84.2,"Läckberg, Camilla.",Merenneito,978-951-20-8353-4,2011,684
84.2,"Sirén, Esa.",Kannaksen kostajat,978-951-20-9719-7,2014,682
84.2,"Bauer, Belinda.",Ruumis nro 19,978-951-23-5763-5,2014,680
84.2,"Roberts, Nora, kirjoittaja.",Varjojen vartija,978-951-20-9629-9,2015,680
85.22,"Kaarla, Riina.",Täältä tulee Pikku Myy : Muumipeikon talo,978-951-31-6995-4,2013,679
84.2,"Mäki, Reijo.",Intiaani,978-951-1-27390-5,2013,675
L84.2,"Hallberg, Lin.",Eppu etsii kotia,978-951-31-6495-9,2012,675
84.2,"Ropponen, Markku.",Kuhala ja tuomitut,978-951-31-7625-9,2014,675
84.2,"Backman, Fredrik, kirjoittaja.",Britt-Marie kävi täällä,978-951-1-28715-5,2015,673
85.22,"Kylmänen, Marjo.",Miina ja Manu tallilla,978-951-866-883-4,2014,671
84.2 D,"Cussler, Clive, kirjoittaja.",Kilpalento,978-951-0-40654-0,2014,671
84.2,"Nopola, Sinikka.",Risto Räppääjä ja Sevillan saituri,978-951-31-8052-2,2014,671
84.2,"Pakkanen, Outi.",Toinen kerros,978-951-1-26585-6,2012,670
84.2,"Sund, Erik Axl.",Unissakulkija,978-951-1-28216-7,2014,669
77.492,"Haapasalo, Ville.","Et kuitenkaan usko..."" : Ville Haapasalon varhaisvuodet Venäjällä""",978-952-291-012-7,2013,669
84.2,"Havaste, Paula, kirjoittaja.",Maan vihat,978-951-24-0057-7,2015,668
84.2,"Kunnas, Mauri.",Yötarinoita,978-951-1-25118-7,2010,668
84.2,"Jokinen, Seppo.",Kuka sellaista tekisi,978-951-23-5000-1,2008,666
84.2,"Mankell, Henning, kirjoittaja.",Ruotsalaiset saappaat,978-951-1-29172-5,2015,665
84.2,"Kirstilä, Pentti, kirjoittaja.",Jäähyväiset Hanhivaaralle,978-952-289-236-2,2015,665
84.2,"Hayes, Terry, kirjoittaja.",Vaeltaja,978-952-279-100-9,2015,662
84.2,"Rönkä, Matti.",Levantin kyy,978-951-20-9310-6,2013,662
85.22,"Havukainen, Aino, kirjoittaja, taiteilija.",Tatun ja Patun ihmeellinen joulu,978-951-1-28799-5,2015,661
85.22,Moomin and the little ghost.,Muumi ja pikku aave,978-951-0-40196-5,2013,660
93.12,"Lappalainen, Mirkka, kirjoittaja.",Pohjolan leijona : Kustaa II Adolf ja Suomi 1611-1632,978-952-234-242-3,2014,659
84.2 JÄN,"Sandberg, Timo.",Kärpäsvaara,978-951-23-5757-4,2014,658
84.2,"Härkönen, Anna-Leena.",Takana puhumisen taito,978-952-67705-2-9,2014,657
85.22,"Harjanne, Maikki.",Mintun syntymäpäivät,978-951-1-28057-6,2014,657
84.2,"Remes, Ilkka.",Omertan liitto,978-951-0-39874-6,2013,656
84.2,"Williams, John, kirjoittaja.",Stoner,978-952-279-112-2,2015,655
84.2,"Kesävuori, Saara.",Kuningas,978-951-31-7647-1,2014,654
85.22,"Nopola, Tiina.",Siiri ja yläkerran Onni,951-31-2816-4,2003,654
84.2 D,"Remes, Ilkka, kirjoittaja.",Jäätyvä helvetti,978-951-0-41299-2,2015,653
84.2,"Tuominen, Pirjo.",Perintömaat,978-951-31-5626-8,2010,653
84.2,"Mankell, Henning.",Haudattu,978-951-1-27763-7,2013,653
77.4983,"Reynolds, David West.",Star wars : episodit I-VI : kuvitettu opas,978-951-0-33253-5,2007,651
84.2,"Tervo, Kati.",Sukupuu : romaani,978-951-0-40693-9,2014,649
84.2,"McEwan, Ian, kirjoittaja.",Lapsen oikeus,978-951-1-28670-7,2015,647
85.22 KU,"Míler, Zdenk.",Myyrän raketti,951-31-2006-6,2004,645
84.2 D,"Jokinen, Seppo.",Vilpittömässä mielessä,951-23-4424-6,2003,644
84.2,"Flynn, Gillian.",Paha paikka,978-951-0-40118-7,2014,643
84.2,"James, Peter, kirjoittaja.",Kuoleman kello käy,978-952-312-014-3,2014,643
85.22,"Nopola, Tiina, kirjoittaja.",Siiri ja kamala possu,951-31-3417-2,2005,639
85.22,"Barbie: the secret door, suomi.",Barbie ja salainen ovi,978-951-20-9811-8,2014,638
84.2,"Steel, Danielle.",Etelän valot,978-951-0-39708-4,2013,637
84.2,"Zander, Joakim, kirjoittaja.",Uimari,978-951-31-7936-6,2015,637
85.22,"Harjanne, Maikki.",Minttu ja mummo,978-951-1-24281-9,2010,636
84.2,"Tuominen, Pirjo.",Silkkipunos,978-951-31-6849-0,2012,636
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhännän silakkaretki,951-20-3970-2,1992,636
84.2 H ,"Widmark, Martin.",Junan arvoitus,978-951-31-4118-9,2009,636
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja viimeinen tötterö,978-951-31-8216-8,2014,635
85.22,"Koivisto, Jari.",Miina ja Manu yökylässä,978-951-866-878-0,2014,635
84.2,"Roth, Veronica.",Outolintu,978-951-1-27367-7,2014,635
85.22,"Bergström, Gunilla.",Mikko Mallikas ja sisukas muurahainen,951-31-3555-1,2006,635
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä Amerikassa,951-20-3981-8,1992,634
84.2,"Sund, Lars, kirjoittaja.",Kolme sisarta ja yksi kertoja : nelinäytöksinen romaani,978-951-52-3414-8,2014,634
84.2,"Widmark, Martin.",Sirkuksen arvoitus,951-31-3031-2,2005,633
84.2 H,"Hallberg, Lin.",Eppu tulee taloon,978-951-31-6496-6,2013,633
85.22,"Kunnas, Mauri.",Ujo Elvis,951-1-18988-3,2003,633
84.2,"Härkönen, Anna-Leena.",Onnen tunti,978-951-1-25272-6,2011,633
84.2 D,"Hannah, Sophie.",Nimikirjainmurhat : uusi Hercule Poirot -mysteeri,978-951-0-40652-6,2014,633
84.2,"Brockmole, Jessica, kirjoittaja.",Kirjeitä saarelta,978-952-279-081-1,2015,632
77.4983,,Hyvän ja pahan ikuinen taistelu : [2 tarinaa],978-951-0-39923-1,2013,632
85.22 KU,"Knutsson, Gösta, kirjoittaja.",Pekka Töpöhäntä käy koulua,951-20-3973-7,1992,630
85.22,"Kanto, Anneli.",Paavo Virtanen ja pimeys,978-951-23-5777-2,2014,630
84.2,"Flynn, Gillian.",Kiltti tyttö,978-951-0-39683-4,2013,629
84.2 H ,"Parvela, Timo.",Ella ja kaverit juhlatuulella,978-951-31-5719-7,2010,628
84.2,"Jansson, Anna.",Murhan alkemia,978-951-20-8783-9,2012,626
85.22,"Cousins, Lucy.",Maisa menee elokuviin,978-951-0-40349-5,2014,626
84.2 D,"Ropponen, Markku.",Kuhala & jokimurhat,978-951-31-7130-8,2013,625
84.2,"Garner, Helen, kirjoittaja.",Vierashuone,978-952-300-111-4,2015,625
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja Sevillan saituri,978-951-31-8450-6,2014,625
85.22,"Nopola, Tiina.",Siiri ja lumimies,978-951-31-6846-9,2012,624
85.22,"Harjanne, Maikki.",Minttu prinsessana,978-951-1-22235-4,2009,623
85.22,"Cousins, Lucy, kirjoittaja, taiteilija.","Yksi, kaksi, kolme.. : Maisa osaa laskea",978-951-0-41097-4,2015,623
84.2,"Kallioniemi, Tuula.",Faneja ja fossiileja : [Reuhurinne],978-951-1-27300-4,2013,622
84.2,"Nopola, Sinikka.",Risto Räppääjä ja kuuluisa Kamilla,978-951-31-5081-5,2009,621
85.22,"Kanto, Anneli.",Perttu Virtanen ja kauhea kateus,978-951-23-5603-4,2012,621
85.22,"Míler, Zdenk.",Myyrän auto,951-31-1712-X,1999,621
84.2,"Liksom, Rosa.",Väliaikainen,978-952-01-1096-3,2014,621
84.2,"Kivelä, Anneli.",Onnenkauppaa Katajamäellä,978-951-23-4893-0,2007,621
84.2,"Vuori, Kristiina.",Disa Hannuntytär,978-951-31-7638-9,2014,620
84.2,"Arhippa, Pirkko.",Kihlaava kuolema : jännitysromaani,978-951-883-407-9,2012,619
85.22,"Bagge, Tapani.",Kadonneen aarteen arvoitus,978-951-31-7607-5,2014,618
85.22,Moomin and the new friend.,Muumi ja uusi ystävä,978-951-0-39437-3,2012,618
84.2,"Nopola, Sinikka.",Risto Räppääjä ja kaksoisolento,978-951-31-7194-0,2013,618
84.2,"Roberts, Nora.",Tulen sylissä,978-951-20-8812-6,2013,617
84.2,"Kivelä, Anneli.",Kotiin Katajamäelle,978-951-23-4840-4,2007,612
85.22,"Kunnas, Mauri.",Herra Hakkaraisen aakkoset,951-1-17427-4,2001,612
84.2,,Risto Räppääjä ja Liukas Lennart,8717418420864,2014,611
84.2,"Köngäs, Heidi, kirjoittaja.",Hertta : romaani,978-951-1-28991-3,2015,611
84.2,"Ingelman-Sundberg, Catharina.","Kakkua, kiitos!",978-951-52-3412-4,2014,610
84.2,"Hulkko, Johanna.",Geoetsivät ja rahakäärön arvoitus,978-951-23-5583-9,2013,609
84.2,"Jungstedt, Mari.",Hiljaisuuden hinta,978-951-1-24514-8,2012,607
84.2,"Brown, Sandra.",Paljon pelissä,978-951-31-7603-7,2014,606
84.2,"Bagge, Tapani, kirjoittaja.",Pieni talvisota,978-952-289-230-0,2015,605
84.2,"Ollikainen, Aki, kirjoittaja.",Musta satu,978-952-234-284-3,2015,605
85.32,"Collected adventures, suomi",Kootut seikkailut. 2 /,978-951-0-40403-4,2014,605
84.2 Scifi,"Isomäki, Risto.",Kurganin varjot,978-951-31-8019-5,2014,604
84.2,"Adler-Olsen, Jussi.",Metsästäjät,978-951-20-8550-7,2013,602
85.22,"Wallace, Karen.",Kiiltävät johtolangat,978-951-883-270-9,2011,600
84.2,"Jokinen, Seppo.",Hukan enkelit,978-951-23-4229-7,2001,599
84.2,"Tuuri, Hanna, kirjoittaja.",Ranta,978-951-1-28098-9,2015,599
85.22 KU,"Kunnas, Mauri.",Herra Hakkaraisen numerot,951-1-19740-1,2004,597
84.2,"Lähteenmäki, Laura.",Ikkunat yöhön,978-951-0-40383-9,2014,595
84.2,"Fossum, Karin.",Carmen Zita ja kuolema : romaani,978-951-0-40524-6,2014,595
84.2,"Hosseini, Khaled.",Ja vuoret kaikuivat,978-951-1-27399-8,2013,594
84.2,"Nesbø, Jo.",Aave,978-951-0-38712-2,2012,592
85.22,"Marsoli, Lisa.",Lentsikat,978-951-32-3770-7,2013,592
84.2 H,"Mayfield, Sue.",Ollaan kavereita,978-951-883-518-2,2013,592
84.2,"Oksanen, Sofi.",Puhdistus : romaani,978-951-0-33973-2,2008,592
85.22,"Handford, Martin, taiteilija, kirjoittaja.",Missä Vallu? : aikamatka,978-951-883-661-5,2015,591
84.2,"Roth, Veronica, kirjoittaja.",Uskollinen,978-951-1-28211-2,2015,591
84.2,"Widmark, Martin.",Kahvilan arvoitus,951-31-3032-0,2005,591
84.2,"Steel, Danielle.",Sydämen asioita,978-951-0-39518-9,2013,590
61.4,,Samsung [Esine] : NP200B.,,2012,590
84.2,"Russell, Rachel Renée.","Nolo elämäni. 3, Olisinpa poptähti /",978-951-32-3527-7,2013,589
84.2,"Kallioniemi, Tuula, kirjoittaja.",Ensiluokkaiset jälkien etsijät,978-951-1-28132-0,2014,589
85.22,"Hapka, Catherine, kirjoittaja.",Sofia ensimmäinen : lumotut juhlat,978-951-32-4081-3,2015,589
84.2,"Koivisto, Jari.",Miina ja Manu sirkuksessa,978-951-866-865-0,2013,588
85.22,"Kunnas, Mauri.","Riku, Roope ja Ringo : värikäs päivä",978-951-1-25803-2,2012,588
85.22,"Bergström, Gunilla.",Mikko Mallikas tulee iloiseksi,978-951-31-0395-8,1994,587
85.22,"Harjanne, Maikki.",Minttu urheilee,978-951-1-25427-0,2012,587
84.2,"Kelly, Cathy.",Mehiläiskuningatar,978-951-20-9444-8,2014,587
85.22,"Koivisto, Jari.",Miina ja Manu : kaupunkikierros,978-951-866-884-1,2014,587
84.2,"Sipilä, Jarkko.",Suljetuin ovin,978-952-5918-75-5,2012,587
85.22,"Havukainen, Aino.",Veera lääkärissä,978-951-1-26046-2,2012,586
85.22,"Wallace, Karen.",Jäljet lumessa,978-951-883-271-6,2011,585
84.2,"Soininvaara, Taavi, kirjoittaja.",Haukka ja kyyhky,978-951-1-28778-0,2015,585
85.22,"Marsoli, Lisa.",Frozen : huurteinen seikkailu,978-951-32-3868-1,2013,585
84.2,"Pettersson, Lars.","Koutokeino, kylmä kosto",978-952-312-022-8,2014,585
85.22,"Koskimies, Pirkko.",Pupu Tupuna lomalla,978-951-32-3369-3,2012,584
84.2,"Munro, Alice, kirjoittaja.",Nuoruudenystävä,978-951-31-8188-8,2015,584
84.2,"Lehtinen, Tuija.",Miss Seinäruusu,978-951-1-25511-6,2011,584
84.2,"Kepler, Lars.",Paganini ja paholainen : rikosromaani,978-951-31-5496-7,2011,583
84.2,,Risto Räppääjä ja viileä Venla,6420291124263,2012,582
84.2,"Jansson, Anna.",Haudan takaa,978-951-20-9121-8,2013,581
85.22,"Kunnas, Mauri.",Koiramäen Martta ja Ruuneperi,951-1-20516-1,2005,581
84.2,"Hakalahti, Niina.",Sydänystävä,978-951-23-5829-8,2014,581
84.2,"Kaunisto, Milja, kirjoittaja.",Piispansormus,978-951-20-9876-7,2015,580
84.2,"Turunen, Heikki, kirjoittaja.",Karjalan kuningas : romaani,978-951-0-40761-5,2014,580
3,Guinness world records 2011,Guinness world records 2011,978-951-32-2996-2,2010,579
84.2,"Jaatinen, Heidi.",Kaksi viatonta päivää,978-951-20-9511-7,2014,578
85.32,Collected adventures.,Kootut seikkailut. 1 /,978-951-0-40402-7,2014,578
84.2,"Hotakainen, Kari.",Luonnon laki,978-952-234-185-3,2013,577
84.2,"Cleeves, Ann.",Viiltoja,978-951-23-5762-8,2014,577
85.22,"Arenius, Päivi, taiteilija.",Hillopurkin arvoitus,978-951-31-8159-8,2015,576
84.2,"Pancol, Katherine, kirjoittaja.",Mimmit. 2 /,978-952-279-240-2,2015,575
84.2,"Wallace, Karen.",Munavarkaita,978-951-883-285-3,2012,575
84.2,,Tarmokas terrieri trampoliinilla,978-951-1-28177-1,2014,575
85.22 KU,"Kanto, Anneli.",Kastehelmi Virtanen ja oma tahto,978-951-23-5536-5,2012,575
84.2,"Snellman, Anja, kirjoittaja.",Antautuminen,978-951-0-41438-5,2015,575
85.22,"Nicholson, Sue, kirjoittaja.",Pipsa Possun piiloleikki : etsi ja löydä kuvasta!,978-951-1-28690-5,2015,575
84.2,"Pakkanen, Outi.",Julma kuu,978-952-5918-70-0,2012,574
84.2,"Roth, Veronica, kirjoittaja.",Kapinallinen,978-951-1-28005-7,2014,574
85.22,"Kaarla, Riina.",Täältä tulee Pikku Myy : villit vieraat,978-951-31-6265-8,2011,574
85.22,"Kaarla, Riina, kirjoittaja, taiteilija.",Täältä tulee Pikku Myy : merten hurjapäät,978-951-31-7780-5,2015,573
84.2,"Kivelä, Anneli.",Katajamäellä kuohuu,978-951-23-5080-3,2009,573
84.2,"Atkinson, Kate.",Eikö vieläkään hyviä uutisia?,978-951-52-3243-4,2013,573
84.2,"Westö, Kjell.",Kangastus 38,978-951-1-27403-2,2013,572
85.22,"Nopola, Tiina.",Siiri ja sotkuinen Kerttu,978-951-31-3114-2,2004,572
79.81,"How to do everything in Minecraft, suomi",Minecraft : pelaajan opas,978-952-321-023-3,2015,571
84.2,"Lehtinen, Tuija.",Kolme miestä netissä,978-951-1-24573-5,2010,570
85.22,"Cousins, Lucy.",Maisan kaupunkiloma,978-951-0-37744-4,2011,570
84.2,"Widmark, Martin.",Timanttien arvoitus,951-31-3029-0,2004,568
85.22,"Cousins, Lucy.",Maisa lähtee lomalle,978-951-0-36285-3,2010,568
84.2 D,"Nesbø, Jo.",Kukkulan kuningas,978-951-0-34705-8,2009,568
84.2 JÄN,"Connelly, Michael, kirjoittaja.",Palava huone,978-951-20-9924-5,2015,568
84.2,"Roberts, Nora.",Rakkauden kynnyksellä,978-951-20-8810-2,2013,567
84.2 VI,,Lunttaava laiskiainen : 400 uutta koululaisvitsiä,978-951-1-25543-7,2011,567
85.22 KU,"Jennings, Sharon, kirjoittaja.",Franklin saa vieraan,978-951-31-4160-8,2008,566
85.22,"Hill, Eric.",Puppe osaa laskea,951-1-16277-2,1999,564
84.2,"Russell, Rachel Renée.","Nolo elämäni. 1, Olisinpa suosittu /",978-951-32-3502-4,2012,564
84.2,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset koulutiellä,978-951-1-25119-4,2011,564
84.2,"Parvela, Timo.",Ella ja Paterock,951-31-3130-0,2004,563
85.22,"Koivisto, Jari.",Salaperäinen lentäjä,978-951-866-802-5,2011,563
59.535,"Enders, Giulia, kirjoittaja.",Suoliston salaisuus : kaikki kehomme keskeisestä elimestä,978-951-1-28569-4,2015,563
84.2,"Parvela, Timo.",Ella ja kaverit menevät metsään,978-951-31-7190-2,2013,562
84.2,"McCall Smith, Alexander.",Limpopon yksityisetsiväkoulu,978-951-1-27897-9,2014,562
85.22,"Lindgren, Astrid, kirjoittaja.",Peppi käy kaupoissa,978-951-0-41158-2,2015,562
85.22,"Bergström, Gunilla.",Mikko Mallikas punoo juonia,978-951-31-3843-1,2007,562
84.2,"Kaarnakari, Ville, kirjoittaja.",Hakaristin leimaama,978-951-31-8012-6,2014,562
84.2,"Orkoma, Marja.",Puistotie 4,978-951-883-344-7,2012,561
